country;city;park_id;park_name;real_tipo_servicio;plan_lob_name;confidence;notes
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;económico;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;confort;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;confort+;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;minivan;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;exprés;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;tuk-tuk;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;premier;auto taxi;high;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;moto;auto taxi;medium;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;económico;auto taxi;high;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;moto;auto taxi;medium;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;cargo;auto taxi;medium;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;económico;auto taxi;high;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;standard;auto taxi;high;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;start;auto taxi;high;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;mensajería;auto taxi;medium;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;mensajería;auto taxi;medium;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;confort;auto taxi;high;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;mensajería;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"-), calle enrique palacios, 1072, distrital miraflores""";auto taxi;low;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;envíos;auto taxi;high;
;yego;7ca266b7f3774ffc9a89b5b261adc62c;Yego;standard;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"iii etapa block 26 santiago de surco, jirón general pedro silva, 25, las viñas de surco""";auto taxi;low;
;yego;96f5a1e493b6484e88d7fc2e3bb8cbdb;Yego;envíos;auto taxi;high;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;focos led para auto, moto;auto taxi;low;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"-), calle enrique palacios, 1072, distrital miraflores -> distrital magdalena del mar""";auto taxi;low;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"miraflores, malecón balta, 956, distrital miraflores""";auto taxi;low;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"-12.0547) -> calle 2, 284, distrital bellavista""";auto taxi;low;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"las verduras del angel, jirón tejada, 271a, distrital barranco""";auto taxi;low;
;yego;08e20910d81d42658d4334d3f6d10ac0;Yego;"-), calle enrique palacios, 1072, distrital miraflores -> calle bolívar, 348, distrital miraflores""";auto taxi;low;
;yego arequipa;56e4607dfc354e0a9cde4f0aa7973003;Yego Arequipa;económico;auto taxi;high;
;yego arequipa;56e4607dfc354e0a9cde4f0aa7973003;Yego Arequipa;confort;auto taxi;high;
;yego arequipa;56e4607dfc354e0a9cde4f0aa7973003;Yego Arequipa;exprés;auto taxi;high;
;yego arequipa;56e4607dfc354e0a9cde4f0aa7973003;Yego Arequipa;confort+;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;económico;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;moto;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;standard;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;confort;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;mensajería;auto taxi;medium;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;envíos;auto taxi;medium;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;start;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;tuk-tuk;auto taxi;medium;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;confort+;auto taxi;high;
;yego barranquilla;ef21f793358144f589aabcbeb8bd7d50;Yego Barranquilla;"11.0017)""";auto taxi;low;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;económico;auto taxi;high;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;confort;auto taxi;high;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;confort+;auto taxi;high;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;minivan;auto taxi;medium;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;premier;auto taxi;high;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;exprés;auto taxi;medium;
;yego black;c054c8b5dfe14e75b882943b2a252706;Yego Black;cargo;auto taxi;medium;
;yego bogota;f4ac6fdbf26043dfabdd3315bb4d679e;Yego Bogota;cargo;delivery;medium;
;yego bogota;f4ac6fdbf26043dfabdd3315bb4d679e;Yego Bogota;envíos;delivery;high;
;yego bogota;f4ac6fdbf26043dfabdd3315bb4d679e;Yego Bogota;moto;delivery;high;
;yego bogota;f4ac6fdbf26043dfabdd3315bb4d679e;Yego Bogota;mensajería;delivery;high;
;yego bogota;f4ac6fdbf26043dfabdd3315bb4d679e;Yego Bogota;"el progreso""";delivery;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;económico;auto taxi;high;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;moto;auto taxi;medium;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;standard;auto taxi;high;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;confort;auto taxi;high;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;start;auto taxi;high;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;confort+;auto taxi;high;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;mensajería;auto taxi;medium;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;envíos;auto taxi;medium;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;cargo;auto taxi;medium;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"cali, avenida 4a, 45-norte-58, municipio de santiago de cali, comuna 2, la flora""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"repuestos benelli, calle 9, 16-05, municipio de santiago de cali""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"n, carrera 32, 9a-30, municipio de santiago de cali, comuna 10""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"cali, avenida 4a, 45-norte-42, municipio de santiago de cali, comuna 2, la flora""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.36968)""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"repuestos benelli, calle 9, 16-21, municipio de santiago de cali""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"1402, calle 17, 1-norte-25, municipio de santiago de cali""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"centro integral de copiado y papelería, carrera 62, municipio de santiago de cali, comuna 19""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"cali, communa 2, cali, colombia""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.47755) -> panadería pablo's pan, calle 55, 30a-108, municipio de santiago de cali, comuna 15""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.46659)""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.46513) -> carrera 25a, 30-44, municipio de santiago de cali, comuna 11""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.43921)""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.41834)""";auto taxi;low;
;yego cali;05b1c831e66f41a9a87f5f3fa0a186ae;Yego Cali;"3.37199)""";auto taxi;low;
;yego cargo lima;bed8509b67514379866e2907d72902a3;Yego Cargo Lima;cargo;cargo;high;
;yego cargo lima;bed8509b67514379866e2907d72902a3;Yego Cargo Lima;exprés;cargo;medium;
;yego cargo lima;bed8509b67514379866e2907d72902a3;Yego Cargo Lima;económico;cargo;medium;
;yego delivery barranquilla;8d3b13bd6e584a3c98c3a9d9825cf7d2;Yego Delivery Barranquilla;mensajería;delivery;high;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;mensajería;delivery;high;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;económico;delivery;medium;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;cargo;delivery;medium;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;minivan;delivery;high;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;"-), calle enrique palacios, 1072, distrital miraflores -> avenida 2 de mayo, 1230, orrantia""";delivery;low;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;"-), calle enrique palacios, 1072, distrital miraflores -> neira, avenida 2 de mayo, 1230, orrantia""";delivery;low;
;yego delivery lima;962afaa34db6420fb03b7ae464f6a061;Yego Delivery Lima;"-), calle enrique palacios, 1072, distrital miraflores -> calle monti, 350, distrital san borja""";delivery;low;
;yego delivery medellin;6a087c4492ae49759bb23592212aa189;Yego Delivery Medellin;mensajería;delivery;high;
;yego delivery medellin;6a087c4492ae49759bb23592212aa189;Yego Delivery Medellin;envíos;delivery;high;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;económico;auto taxi;high;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;confort;auto taxi;high;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;confort+;auto taxi;high;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;minivan;auto taxi;medium;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;exprés;auto taxi;medium;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;premier;auto taxi;high;
;yego líderes;c58110bc70244430a70a8126fc69f22c;Yego Líderes;cargo;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;económico;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;moto;auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;standard;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;start;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;mensajería;auto taxi;medium;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;confort;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;envíos;auto taxi;medium;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"fitness, funcional y triatlon, calle 2 sur, 67-230, municipio de medellín, guayabal""";auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;confort+;auto taxi;high;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"fitness, funcional y triatlon, calle 2 sur, 67-240, municipio de medellín, guayabal""";auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"6.19615) -> calle 44, 71-55, municipio de medellín, laureles estadio""";auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"fitness, funcional y triatlon, calle 2 sur, 67-250, municipio de medellín, guayabal""";auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"6.23194) -> carrera 101, 48a-34, municipio de medellín, san javier""";auto taxi;low;
;yego medellin;e081e2df33a74073992c859638bdf683;Yego Medellin;"6.27766) -> bar la 39, carrera 51, 38a-20""";auto taxi;low;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;económico;auto taxi;high;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;confort;auto taxi;high;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;confort+;auto taxi;high;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;minivan;auto taxi;medium;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;premier;auto taxi;high;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;exprés;auto taxi;medium;
;yego prime;5921e55cc5d042d28747dd722608955a;Yego Prime;cargo;auto taxi;medium;
;yego pro;64085dd85e124e2c808806f70d527ea8;Yego Pro;económico;auto taxi;high;
;yego pro;64085dd85e124e2c808806f70d527ea8;Yego Pro;confort;auto taxi;high;
;yego pro;64085dd85e124e2c808806f70d527ea8;Yego Pro;confort+;auto taxi;high;
;yego pro;64085dd85e124e2c808806f70d527ea8;Yego Pro;exprés;auto taxi;medium;
;yego pro;64085dd85e124e2c808806f70d527ea8;Yego Pro;cargo;auto taxi;medium;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;económico;auto taxi;high;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;confort;auto taxi;high;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;confort+;auto taxi;high;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;minivan;auto taxi;medium;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;exprés;auto taxi;medium;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;premier;auto taxi;high;
;yego promi;ff424287c4bd4cbba6066962951a121f;Yego Promi;cargo;auto taxi;medium;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;económico;auto taxi;high;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;confort;auto taxi;high;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;exprés;auto taxi;medium;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;confort+;auto taxi;high;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;cargo;auto taxi;medium;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;minivan;auto taxi;medium;
;yego trujillo;851e30755bba4d298e2e837f571b4ab8;Yego Trujillo;mensajería;auto taxi;medium;
;yego tuktuk;e3e07c00ed914f82a59c03283a178d6e;Yego TukTuk;tuk-tuk;tuk tuk;high;
;yego tuktuk;e3e07c00ed914f82a59c03283a178d6e;Yego TukTuk;económico;tuk tuk;high;
;yego tuktuk;e3e07c00ed914f82a59c03283a178d6e;Yego TukTuk;mensajería;tuk tuk;medium;
;yego tuktuk;e3e07c00ed914f82a59c03283a178d6e;Yego TukTuk;exprés;tuk tuk;medium;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;económico;auto taxi;high;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;confort;auto taxi;high;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;confort+;auto taxi;high;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;exprés;auto taxi;medium;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;minivan;auto taxi;high;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;premier;auto taxi;high;
;yego,;ae57aaedeacd41eb9fdbe1ff7a89a3f2;Yego,;cargo;auto taxi;medium;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;económico;auto taxi;high;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;confort;auto taxi;high;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;confort+;auto taxi;high;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;minivan;auto taxi;high;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;exprés;auto taxi;high;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;cargo;auto taxi;medium;
;yego.;2e39f6699c854bc49cc75197431fe25c;Yego.;premier;auto taxi;high;
;yegó mi auto;fafd623109d740f8a1f15af7c3dd86c6;Yegó mi auto;económico;auto taxi;high;
;yegó mi auto;fafd623109d740f8a1f15af7c3dd86c6;Yegó mi auto;confort;auto taxi;high;
;yegó mi auto;fafd623109d740f8a1f15af7c3dd86c6;Yegó mi auto;confort+;auto taxi;high;
;yegó mi auto;fafd623109d740f8a1f15af7c3dd86c6;Yegó mi auto;minivan;auto taxi;medium;
;yegó mi auto;fafd623109d740f8a1f15af7c3dd86c6;Yegó mi auto;exprés;auto taxi;medium;
